num,dep,arr
C1111,SOT,TLD
C1113,TLD,SBT
C1115,SOT,TLD
C1117,TLD,SYT
C1119,SBT,TLD
C1121,TLD,SOT
C1123,SYT,TLD
C1127,BXT,TLD
C1133,TLD,DUT
C1134,DUT,TLD
C1135,DUT,TLD
C1136,TLD,DUT
C1137,TLD,SOT
C1139,DUT,TLD
C1141,TLD,SOT
C1142,SOT,TLD
C1143,SOT,TLD
C1144,TLD,SOT
C1261,CCT,JLL
C1262,JLL,CCT
C1267,CCT,JLL
C1268,JLL,CCT
C1273,CCT,JLL
C1274,JLL,CCT
C1275,CCT,JLL
C1276,JLL,CRT
C1277,CCT,JLL
C1278,JLL,CCT
C1279,CCT,JLL
C1280,JLL,CCT
C1301,CCT,BCT
C1302,WWT,CCT
C1303,CCT,WWT
C1305,CCT,WWT
C1306,WWT,CCT
C1308,WWT,CCT
C1309,CCT,WWT
C1310,BCT,CRT
C1321,CRT,VYT
C1322,VYT,CCT
C1323,CCT,VYT
C1324,VYT,CCT
C1325,CCT,VYT
C1326,VYT,CCT
C1327,CCT,VYT
C1328,VYT,CRT
C1329,CCT,VYT
C1330,VYT,CRT
C1331,BCT,JLL
C1332,JLL,BCT
C1333,JLL,BCT
C1334,BCT,JLL
C1335,BCT,JLL
C1336,JLL,BCT
C1337,JLL,BCT
C1338,BCT,JLL
C1351,CCT,VYT
C1352,VYT,CCT
C1353,CCT,BCT
C1354,BCT,CCT
C1355,CRT,VYT
C1356,VYT,CRT
C2171,VNP,TJP
C2172,TJP,VNP
C2173,VNP,TJP
C2174,TJP,VNP
C2175,VNP,TJP
C2176,TJP,VNP
C2177,VNP,TJP
C2178,TJP,VNP
C2179,VNP,TJP
C2180,TJP,VNP
C2181,VNP,TJP
C2182,TJP,VNP
C2954,ZZF,JOF
C2994,JOF,ZAF
C5020,UNN,WCN
C5021,WCN,UNN
C5022,UNN,WCN
C5023,WCN,UNN
C5024,UNN,WCN
C5025,WCN,UNN
C5026,UNN,WCN
C5027,WCN,UNN
C5028,UNN,HKN
C5305,HKN,GDN
C5309,HKN,GDN
C5310,GDN,HKN
C5311,HKN,GDN
C5312,GDN,HKN
C5313,HKN,GDN
C5314,GDN,HKN
C5315,HKN,GDN
C5316,GDN,HKN
C5317,HKN,GDN
C5318,GDN,HKN
C5337,HKN,GDN
C5338,GDN,HKN
C5339,HKN,GDN
C5340,GDN,HKN
C5341,HKN,GDN
C5342,GDN,HKN
C5345,HKN,GDN
C5346,GDN,HKN
C6133,XIW,QSW
C6138,QSW,XIW
C6143,XIW,QSW
C6148,QSW,PYW
C6225,MYW,ICW
C6226,ICW,MYW
C6228,ICW,GYW
C6229,GYW,ICW
C6230,ICW,GYW
C6231,MYW,ICW
C6232,ICW,JFW
C6234,JFW,GYW
C6235,JFW,ICW
C6236,ICW,JFW
C6237,JFW,ICW
C6238,ICW,JFW
C6240,ICW,MYW
C6241,JFW,ICW
C6270,IXW,ICW
C6271,CNW,IXW
C6275,GYW,ICW
C6276,ICW,GYW
C6278,IXW,ICW
C6281,ICW,IXW
C6282,IXW,ICW
C6285,ICW,IUW
C6286,IUW,ICW
C6287,ICW,IXW
C6288,IXW,ICW
C6291,CNW,IVW
C6292,IVW,ICW
C6293,CNW,IVW
C6294,IVW,ICW
C6295,ICW,IXW
C6296,IXW,ICW
C6297,ICW,IUW
C6298,IUW,ICW
C6321,GYW,IUW
C6322,IUW,GYW
C6323,JFW,IXW
C6324,IXW,MYW
C6325,MYW,IVW
C6326,IVW,DYW
C6351,MYW,YXE
C6352,YXE,DYW
C6353,DYW,YXE
C6354,YXE,JFW
C6355,JFW,YXE
C6435,WZE,CUW
C6436,CUW,WZE
C6441,WZE,CUW
C6442,CUW,WZE
C6443,WZE,CUW
C6444,CUW,WZE
C6445,WZE,CUW
C6446,CUW,WZE
C6447,WZE,CUW
C6448,CUW,WZE
C6501,RCK,QDK
C6505,RCK,QDK
C6509,RCK,QDK
C6513,RCK,QDK
C6521,YAK,QDK
C6591,QHK,RCK
C6592,RCK,QHK
C6593,QHK,WKK
C6594,WKK,QHK
C6597,QHK,WKK
C6598,WKK,QHK
C6672,YXE,ICW
C6675,ICW,YXE
C6676,YXE,ICW
C6677,ICW,YXE
C6678,YXE,ICW
C6679,ICW,YXE
C6680,YXE,ICW
C6683,CNW,YXE
C6684,YXE,CNW
C6686,YXE,ICW
C6820,ZVQ,FOQ
C6835,FOQ,ZVQ
C6836,ZVQ,FOQ
C6837,FOQ,ZVQ
C6840,ZVQ,FOQ
C6841,FOQ,ZVQ
C6842,ZVQ,FOQ
C6843,FOQ,ZVQ
C6844,ZVQ,FOQ
C6845,FOQ,ZVQ
C6846,ZVQ,FOQ
C6847,FOQ,ZVQ
C6848,ZVQ,FOQ
C6849,FOQ,ZVQ
C6850,ZVQ,FOQ
C6851,FOQ,ZVQ
C6854,ZVQ,FOQ
C6855,FOQ,ZVQ
C6856,ZVQ,FOQ
C6857,FOQ,ZVQ
C6858,ZVQ,FOQ
C6859,FOQ,ZVQ
C6860,ZVQ,FOQ
C6861,FOQ,ZVQ
C6862,ZVQ,FOQ
C6863,FOQ,ZVQ
C6864,ZVQ,FOQ
C6877,GZQ,ZVQ
C6878,ZVQ,GZQ
C6879,GZQ,ZVQ
C6880,ZVQ,GZQ
C6881,GZQ,ZVQ
C6882,ZVQ,GZQ
C6883,GZQ,ZVQ
C6884,ZVQ,GZQ
